City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
beloha,0,MG,1544041027,81,-25.17,45.06,73.77,8.19
jamestown,0,AU,1544040305,36,-33.21,138.6,69.45,7.63
severo-kurilsk,80,RU,1544040579,100,50.68,156.12,29.4,18.59
codrington,68,AU,1544040000,82,-28.95,153.24,71.6,5.95
koumac,92,NC,1544040580,100,-20.56,164.28,73.37,7.63
hobart,0,AU,1544040000,77,-42.88,147.33,59.0,10.29
mingaora,48,PK,1544041028,80,34.78,72.36,38.13,1.81
rikitea,36,PF,1544041029,100,-23.12,-134.97,74.94,0.81
husavik,32,CA,1544041029,88,50.56,-96.99,14.55,15.79
cape town,0,ZA,1544040000,77,-33.93,18.42,66.2,6.93
vaini,0,IN,1544041030,96,15.34,74.49,65.81,2.48
kaiu,40,EE,1544039400,80,59.01,25.06,37.4,14.99
cabedelo,20,BR,1544036400,70,-6.97,-34.84,84.2,12.75
butaritari,44,KI,1544040583,100,3.07,172.79,85.2,9.98
oistins,20,BB,1544036400,62,13.07,-59.53,84.2,17.22
ponta do sol,44,BR,1544040584,73,-20.63,-46.0,79.4,2.59
torbay,90,CA,1544036400,68,47.66,-52.73,24.8,20.8
punta arenas,75,CL,1544036400,71,-53.16,-70.91,55.4,16.11
hilo,1,US,1544039580,58,19.71,-155.08,78.98,16.46
castro,0,CL,1544036400,43,-42.48,-73.76,71.6,11.41
tongren,100,CN,1544040585,100,27.72,109.18,38.94,8.19
tuktoyaktuk,90,CA,1544036400,84,69.44,-133.03,8.6,6.93
isangel,92,VU,1544040586,100,-19.55,169.27,77.28,14.45
kloulklubed,75,PW,1544035800,83,7.04,134.26,80.6,6.93
bredasdorp,92,ZA,1544036400,72,-34.53,20.04,68.0,5.82
san quintin,0,PH,1544040587,83,17.54,120.52,67.25,2.82
vao,0,EE,1544040550,87,59.1,26.19,34.53,12.1
boa vista,75,BR,1544036400,43,2.82,-60.67,89.6,17.22
half moon bay,40,US,1544039760,77,37.46,-122.43,57.2,5.82
ribeira grande,20,PT,1544038200,72,38.52,-28.7,62.6,11.41
chuy,0,UY,1544040589,75,-33.69,-53.46,67.74,19.04
busselton,92,AU,1544040589,100,-33.64,115.35,54.6,5.95
north bend,1,US,1544039760,56,43.41,-124.22,51.08,4.7
san cristobal,40,EC,1544036400,40,-0.39,-78.55,71.6,19.46
kurchum,0,KZ,1544040591,100,48.57,83.65,-10.02,3.27
aksu,0,KZ,1544038200,83,52.04,76.93,-4.01,8.95
chokurdakh,32,RU,1544040501,37,70.62,147.9,-24.2,3.38
kieta,20,PG,1544040592,100,-6.22,155.63,80.07,4.16
namibe,0,AO,1544040592,100,-15.19,12.15,70.67,3.49
ahuimanu,75,US,1544036220,59,21.44,-157.84,78.08,10.29
kruisfontein,0,ZA,1544041038,84,-34.0,24.73,64.59,7.74
emerald,32,AU,1544036400,68,-23.53,148.16,71.6,9.17
fortuna,0,ES,1544038200,87,38.18,-1.13,55.4,2.48
kapaa,40,US,1544038500,69,22.08,-159.32,78.98,3.36
saint george,20,GR,1544035800,45,39.45,22.34,50.0,4.7
atuona,92,PF,1544040503,100,-9.8,-139.03,80.48,17.92
yellowknife,90,CA,1544037420,84,62.45,-114.38,1.4,9.19
campo de criptana,0,ES,1544040596,80,39.41,-3.13,37.68,2.71
puerto ayora,90,EC,1544036400,57,-0.74,-90.35,78.8,18.34
hermanus,56,ZA,1544041075,94,-34.42,19.24,57.48,2.04
pevek,48,RU,1544041087,100,69.7,170.27,-11.06,8.75
trairi,76,BR,1544040553,100,-3.28,-39.27,81.56,4.5
la asuncion,75,EC,1544036400,48,-1.64,-78.74,69.8,6.93
victor harbor,0,AU,1544038200,25,-35.55,138.62,75.2,10.29
carnarvon,80,ZA,1544040712,22,-30.97,22.13,61.08,3.04
ambam,0,NG,1544040713,28,9.52,8.32,71.57,10.09
albany,90,US,1544039880,59,42.65,-73.75,33.8,2.48
coahuayana,32,MX,1544040713,45,18.62,-100.35,83.4,2.59
ola,48,RU,1544040713,98,59.58,151.3,29.4,44.31
tasiilaq,90,GL,1544039400,58,65.61,-37.64,24.8,10.29
rawson,36,AR,1544040714,50,-43.3,-65.11,58.29,11.43
port alfred,0,ZA,1544040714,86,-33.59,26.89,70.8,18.25
ushuaia,40,AR,1544040000,40,-54.81,-68.31,53.6,17.22
stromness,90,CA,1544039640,69,42.87,-79.55,33.8,9.17
nikolskoye,40,RU,1544040000,86,59.7,30.79,33.8,13.42
mehamn,40,NO,1544039400,79,71.03,27.85,32.0,6.93
doka,0,SD,1544040716,21,13.52,35.76,72.2,11.99
breytovo,92,RU,1544040716,98,58.3,37.86,33.41,12.44
east london,8,ZA,1544040493,100,-33.02,27.91,71.57,21.27
lebu,0,ET,1544036400,39,8.96,38.73,62.6,6.93
mataura,92,NZ,1544041091,69,-46.19,168.86,50.64,17.69
upernavik,64,GL,1544040503,100,72.79,-56.15,21.48,5.61
port-gentil,40,GA,1544036400,88,-0.72,8.78,82.4,9.17
raudeberg,75,NO,1544039400,100,61.99,5.14,33.8,6.93
new norfolk,0,AU,1544038200,76,-42.78,147.06,57.2,9.17
port lincoln,24,AU,1544040718,55,-34.72,135.86,73.32,17.81
saint-philippe,90,CA,1544038500,86,45.36,-73.48,26.06,1.59
sobolevo,92,RU,1544040719,94,54.43,31.9,31.47,6.4
saldanha,0,PT,1544040719,90,41.42,-6.55,33.68,2.82
bluff,36,AU,1544041093,63,-23.58,149.07,71.25,15.68
honiara,36,SB,1544040619,94,-9.43,159.96,78.18,3.04
abashiri,0,JP,1544040720,66,44.01,144.25,22.7,8.63
taoudenni,0,ML,1544040720,27,22.68,-3.98,64.95,11.21
norman wells,75,CA,1544036400,92,65.28,-126.83,10.4,4.7
sola,20,NO,1544039400,100,58.89,5.65,39.2,8.05
provideniya,76,RU,1544038200,62,64.42,-173.23,19.4,15.66
maningrida,0,AU,1544040721,85,-12.05,134.23,82.82,8.52
muncar,24,ID,1544040722,100,-8.43,114.34,78.63,2.82
barcelona,20,ES,1544038200,93,41.38,2.18,57.2,6.93
le port,0,FR,1544040723,80,42.87,1.37,25.13,1.7
ulladulla,75,AU,1544036400,100,-35.36,150.48,55.4,3.36
huancabamba,8,PE,1544040724,19,-5.24,-79.45,77.78,0.81
anantapur,92,IN,1544040724,99,14.68,77.61,70.17,5.73
tiksi,12,RU,1544040724,38,71.64,128.87,-25.05,2.59
martil,40,MA,1544038200,87,35.62,-5.28,62.6,2.24
masyaf,75,SY,1544040000,67,35.06,36.34,59.0,9.17
suruc,90,TR,1544039400,100,36.98,38.42,48.2,12.75
mayo,40,CA,1544036400,76,63.59,-135.9,-11.21,3.38
hailar,0,CN,1544040727,38,49.2,119.7,-26.4,6.17
thompson,20,CA,1544036400,75,55.74,-97.86,-13.01,10.29
kathu,24,ZA,1544040728,51,-27.7,23.05,67.92,2.82
darovskoy,76,RU,1544040728,92,58.77,47.96,22.25,8.97
auki,0,NG,1544040728,26,12.18,6.51,71.03,9.98
avarua,40,CK,1544040000,58,-21.21,-159.78,82.4,11.41
kimbe,56,PG,1544040728,100,-5.56,150.15,78.41,2.26
ballina,90,IE,1544036400,100,54.11,-9.15,44.6,5.82
faya,0,SA,1544036400,87,18.39,42.45,59.0,4.7
mount isa,0,AU,1544040000,38,-20.73,139.49,73.4,1.12
ixtapa,20,MX,1544039040,74,20.71,-105.21,82.4,8.05
viedma,36,AR,1544040773,56,-40.81,-62.99,60.09,17.69
saskylakh,80,RU,1544040773,79,71.97,114.09,-4.08,10.2
claresholm,90,CA,1544039460,78,50.02,-113.58,15.8,11.41
campos sales,100,BR,1544040774,99,-7.07,-40.37,67.97,4.61
jhang,24,PK,1544040000,81,33.67,72.7,50.0,3.71
maldonado,40,UY,1544036400,60,-34.91,-54.96,68.0,16.11
opuwo,0,NA,1544040775,27,-18.06,13.84,71.88,6.62
seoul,90,KR,1544040000,87,37.57,126.98,33.8,1.12
yulara,0,AU,1544040000,83,-25.24,130.99,71.6,13.87
qaanaaq,80,GL,1544040776,100,77.48,-69.36,3.93,12.21
hasaki,75,JP,1544040000,71,35.73,140.83,57.2,9.17
barrow,92,AR,1544040776,60,-38.31,-60.23,61.89,14.79
kahului,20,US,1544036160,54,20.89,-156.47,80.06,13.87
khatanga,80,RU,1544040777,73,71.98,102.47,-2.15,18.25
jabinyanah,20,TN,1544036400,67,35.03,10.91,59.0,2.24
sitka,0,US,1544040778,45,37.17,-99.65,50.87,21.72
bethel,90,US,1544039760,95,60.79,-161.76,33.08,5.82
guiratinga,64,BR,1544040533,45,-16.35,-53.76,90.15,5.73
hithadhoo,88,MV,1544040779,100,-0.6,73.08,79.22,5.39
bedford,64,GB,1544039760,100,52.14,-0.47,53.6,6.93
mopipi,8,BW,1544041152,71,-21.2,24.86,71.7,2.93
paamiut,80,GL,1544040779,81,61.99,-49.67,35.7,4.27
matara,0,PE,1544036400,39,-13.74,-72.9,66.2,5.82
mar del plata,0,AR,1544040780,47,-46.43,-67.52,62.79,9.64
kushima,48,JP,1544040780,100,31.5,131.29,59.51,4.27
surt,92,LY,1544040781,93,31.21,16.59,66.8,15.01
gariaband,88,IN,1544040781,91,20.63,82.06,61.58,2.26
nemuro,32,JP,1544040781,100,43.32,145.57,35.97,23.06
kodiak,1,US,1544039700,35,39.95,-94.76,41.36,9.17
deputatskiy,8,RU,1544041154,0,69.3,139.9,-44.58,2.71
